anchor_id,monthly_sales_avg_alltime_jpy,n_months_alltime,monthly_sales_avg_l6m_jpy,n_months_l6m,l6m_first_month,l6m_last_month,sales_2025_local,ebitda_2025_local,ebitda_margin_2025
gc_1507,5509320.0625,16,6095112.0,6,2025-07-01,2025-12-01,68940872.0,5468250.0,0.07931796975239884
gc_1508,10148821.25,16,11669756.166666666,6,2025-07-01,2025-12-01,128173505.0,30372566.0,0.23696446469182536
gc_1509,11231239.066666666,15,11760448.0,6,2025-07-01,2025-12-01,133957684.0,21047059.809199996,0.15711722672959916
gc_1510,13422972.666666666,6,13422972.666666666,6,2024-10-01,2025-03-01,37705339.0,5802703.0,0.15389605700137055
gc_1511,9445262.862745099,51,9518674.833333334,6,2023-10-01,2024-03-01,167985141.0,38868712.0,0.23138184585028268
gc_1512,11337003.333333334,15,12017592.166666666,6,2025-07-01,2025-12-01,140199436.0,26590432.0,0.189661476241602
gc_1513,12849581.2,15,14353090.166666666,6,2025-07-01,2025-12-01,161759439.0,28235283.515,0.1745510721943095
gc_1514,6673319.866666666,15,7445081.0,6,2025-07-01,2025-12-01,83581875.0,13918611.0,0.1665266662180048
gc_1515,11130761.266666668,15,11877712.166666666,6,2025-07-01,2025-12-01,137109173.0,16387748.0,0.11952335238722503
gc_1516,11757435.92857143,14,13954270.333333334,6,2025-07-01,2025-12-01,148871627.0,28267820.0,0.18988050691486028
gc_1517,4936347.5,14,5451148.0,6,2025-07-01,2025-12-01,60971352.0,6038479.0,0.09903797114421868
gc_1518,4863345.384615385,26,5069717.833333333,6,2023-12-01,2024-05-01,96643197.0,14785303.0,0.15298855438319162
gc_1519,9885448.416666666,12,10756647.333333334,6,2025-07-01,2025-12-01,118625381.0,16037114.0,0.13519125388520353
gc_1520,11106175.090909092,11,11776039.666666666,6,2025-07-01,2025-12-01,131877724.0,24839665.0,0.18835375866814322
